,F1,F2,F3
Путь до заведения не занимает много времени [Усы лисы],-0.44573218343209214,0.6182525563261705,-0.07346540840128321
Путь до заведения не занимает много времени [Столовая на БМ],0.6457345718897802,0.054496305981036205,0.4390987521783281
Путь до заведения не занимает много времени [Теремок],0.1647198642824635,0.42380078536904947,0.5852787794253628
Путь до заведения не занимает много времени [Евразия],0.16477201649071233,0.3170876266288257,0.5852580919391743
Путь до заведения не занимает много времени [Burger King в ТЦ Сенная],0.14822020751208767,0.5465698028880444,0.2903039304299298
Путь до заведения не занимает много времени [Rostic's в ТЦ Сенная],0.14822020751208767,0.5465698028880444,0.2903039304299298
Путь до заведения не занимает много времени [Вкусно - и точка в ПИКе],0.15333030203555031,0.5410271140350695,0.2632121036765111
Цена блюд соответствуют их качеству [Усы лисы],0.03795777181066855,0.4838662294741516,0.13468265658290723
Цена блюд соответствуют их качеству [Столовая на БМ],0.257423458568014,0.3296741532794161,-0.013340281747579726
Цена блюд соответствуют их качеству [Теремок],0.1379256483028525,0.1395368707649042,0.8618060147141428
Цена блюд соответствуют их качеству [Евразия],0.5822971921819388,0.018736724457531048,0.15783214821064595
Цена блюд соответствуют их качеству [Burger King в ТЦ Сенная],0.8127293046678338,0.020736040189429556,0.16991079222370015
Цена блюд соответствуют их качеству [Rostic's в ТЦ Сенная],0.8882479805657734,-0.045210307387511806,0.14367619384787095
Цена блюд соответствуют их качеству [Вкусно - и точка в ПИКе],0.8109835015007644,0.05415128352532656,0.03997000792587089
Порции в заведении соответствуют цене [Усы лисы],0.10029258277761052,0.42924868339223216,0.20362863375180115
Порции в заведении соответствуют цене [Столовая на БМ],0.30672190997838183,0.26781210263991745,-0.057173662897892295
Порции в заведении соответствуют цене [Теремок],-0.017175090479642153,0.0013092042639475973,0.9199124854537145
Порции в заведении соответствуют цене [Евразия],0.5408169447209946,-0.1666610477093022,0.3959177809717994
Порции в заведении соответствуют цене [Burger King в ТЦ Сенная],0.6099845773252712,0.09909949688282632,0.1399867081523484
Порции в заведении соответствуют цене [Rostic's в ТЦ Сенная],0.6679696510705502,-0.1732838018672553,-0.016855238292014314
Порции в заведении соответствуют цене [Вкусно - и точка в ПИКе],0.8004123019788609,0.22291594465641917,-0.11432751144510273
В заведении выгодные цены [Усы лисы],0.05775589780937251,0.6595684223051834,0.08115551939166453
В заведении выгодные цены [Столовая на БМ],0.28713617660866136,0.15212423450688126,0.016349695419504554
В заведении выгодные цены [Теремок],-0.10408321517868911,-0.06818385002732352,0.8712498907007185
В заведении выгодные цены [Евразия],0.07911095323468578,-0.10696626646316044,0.7694060483164344
В заведении выгодные цены [Burger King в ТЦ Сенная],0.4716876352804466,0.2095378717258522,0.257804239964307
В заведении выгодные цены [Rostic's в ТЦ Сенная],0.7585786216123769,-0.059909955254821956,0.15758775899405503
В заведении выгодные цены [Вкусно - и точка в ПИКе],0.7839508647323742,0.034837964639831916,-0.022730112315475365
"В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Усы лисы]",0.2033764971420489,-0.5025805186791488,-0.07336033732742453
"В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Столовая на БМ]",0.1520728406940093,-0.1510929167469813,-0.14211789267462618
"В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Теремок]",0.20365462439384427,0.13157373654857688,0.6696590163836833
"В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Евразия]",0.3602497667231106,0.004257942110844033,0.4511579974205894
"В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Burger King в ТЦ Сенная]",0.8143110337185329,0.23008459359948655,0.007519381568594525
"В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Rostic's в ТЦ Сенная]",0.873899628762734,0.20108590154031916,-0.019899345390144
"В заведении есть различные акции: комбо, ланчи, программа лояльности и пр. [Вкусно - и точка в ПИКе]",0.8656402935109659,0.2038827412731718,-0.08697687347758089
